centroid (4966, 4815)
(4454, 4448)
(4215, 4612)
(4961, 4438)
(4433, 4560)
(4866, 4676)
(4526, 3826)
(4787, 4504)
(4875, 4365)
(4939, 4772)
(3998, 4985)
(3942, 4802)
(3904, 4765)
(4709, 3858)
(4868, 4525)
(3788, 4943)
(4647, 4756)
(4736, 4554)
(4943, 4878)
(4433, 4218)
(4463, 3994)
(4966, 4815)
(4910, 4017)
(4590, 4578)
(4924, 4423)
(4634, 4108)
(4606, 4345)
(4756, 3651)
(4343, 4370)
(4822, 3851)
(4877, 3908)
(4755, 4644)
(4168, 4550)
(4080, 4473)
(4054, 4518)
(4107, 4529)
(4167, 4593)
(4860, 3975)
(4862, 4177)
(4517, 4264)
(4015, 4933)
(4151, 4375)
(4183, 4340)
(4073, 4818)
(4760, 4738)
(4345, 4909)
(4622, 4246)
(4264, 4129)
(4617, 4144)
(4453, 4651)
(4700, 4914)
(4324, 4877)
(4781, 3916)
(4577, 4284)
(4922, 3994)
(4901, 3948)
(3797, 4921)
(4492, 4004)
(4457, 4283)
(4076, 4857)
(4960, 4086)
(4411, 4041)
(4433, 4400)
(4260, 4594)
(4959, 3911)
(4277, 4757)
(3916, 4900)
(4390, 4302)
(4996, 4606)
(4096, 4713)
(4210, 4846)
(4060, 4721)
(4609, 4527)
(4656, 3811)
(3965, 4716)
(4192, 4615)
(4144, 4803)
(4649, 4700)
(4560, 4893)
(4720, 4701)
(4802, 4668)
(4615, 4024)
(4691, 4893)
(4727, 4973)
(4836, 3967)
(4152, 4466)
(4538, 4803)
(4883, 4778)
(3901, 4754)
(4867, 4317)
(4503, 4943)
(4816, 4984)
(4208, 4561)
(4878, 3903)
(4118, 4789)
(4716, 4105)
(4112, 4825)
(4724, 4570)
(4976, 4413)
(4586, 4456)
(4805, 4243)
(4940, 4180)
(4299, 4412)
(3909, 4757)
centroid (2392, 1522)
(2393, 1356)
(2833, 688)
(1932, 2538)
(2130, 1885)
(1569, 1588)
(3260, 159)
(3435, 1817)
(2121, 1957)
(3326, 1622)
(3159, 1216)
(1699, 2205)
(1842, 240)
(2307, 1134)
(3076, 1316)
(2990, 2481)
(3068, 1497)
(1189, 1679)
(1676, 2291)
(1286, 1324)
(3531, 682)
(3203, 1411)
(1691, 218)
(3155, 1599)
(3641, 855)
(2358, 509)
(1671, 1040)
(2005, 1559)
(3428, 953)
(3005, 1753)
(3422, 1138)
(3098, 31)
(2121, 2650)
(2853, 2041)
(1388, 929)
(2295, 2164)
(3010, 2375)
(2782, 1320)
(2850, 40)
(3236, 606)
(2706, 791)
(3412, 431)
(1674, 1375)
(3164, 2400)
(2737, 2183)
(3328, 967)
(1848, 2579)
(2799, 1340)
(1233, 850)
(1372, 1459)
(1768, 376)
(2860, 574)
(2126, 2681)
(2622, 409)
(1918, 2013)
(3085, 1716)
(1300, 1038)
(3533, 917)
(3218, 1170)
(2043, 1877)
(1685, 2318)
(1360, 1704)
(3763, 1235)
(3585, 1228)
